# w2dyn-written: <Kan: U=100 U'=10 J=1>
2 BANDS
1 d 1 u 1 d 1 u 1.000000000000000000e+02
1 d 1 u 2 d 2 u 1.000000000000000000e+00
1 d 2 d 1 d 2 d 1.000000000000000000e+01
1 d 2 d 2 d 1 d 1.000000000000000000e+00
1 d 2 u 1 d 2 u 1.000000000000000000e+01
1 d 2 u 2 d 1 u 1.000000000000000000e+00
1 u 1 d 1 u 1 d 1.000000000000000000e+02
1 u 1 d 2 u 2 d 1.000000000000000000e+00
1 u 2 d 1 u 2 d 1.000000000000000000e+01
1 u 2 d 2 u 1 d 1.000000000000000000e+00
1 u 2 u 1 u 2 u 1.000000000000000000e+01
1 u 2 u 2 u 1 u 1.000000000000000000e+00
2 d 1 d 1 d 2 d 1.000000000000000000e+00
2 d 1 d 2 d 1 d 1.000000000000000000e+01
2 d 1 u 1 d 2 u 1.000000000000000000e+00
2 d 1 u 2 d 1 u 1.000000000000000000e+01
2 d 2 u 1 d 1 u 1.000000000000000000e+00
2 d 2 u 2 d 2 u 1.000000000000000000e+02
2 u 1 d 1 u 2 d 1.000000000000000000e+00
2 u 1 d 2 u 1 d 1.000000000000000000e+01
2 u 1 u 1 u 2 u 1.000000000000000000e+00
2 u 1 u 2 u 1 u 1.000000000000000000e+01
2 u 2 d 1 u 1 d 1.000000000000000000e+00
2 u 2 d 2 u 2 d 1.000000000000000000e+02
